year,CRIME_TYPE,TOTAL_CRIME_COUNT
2008,WEAPONS VIOLATION,3877
2008,DECEPTIVE PRACTICE,14921
2008,THEFT,88434
2008,ROBBERY,16703
2008,INTERFERENCE WITH PUBLIC OFFICER,580
2008,NARCOTICS,46507
2009,PUBLIC PEACE VIOLATION,3147
2009,CRIMINAL TRESPASS,10851
2009,GAMBLING,991
2009,CRIMINAL DAMAGE,47725
2009,INTERFERENCE WITH PUBLIC OFFICER,573
2009,BURGLARY,26767
2009,BATTERY,68461
2009,THEFT,80975
2009,OFFENSE INVOLVING CHILDREN,2618
2009,MOTOR VEHICLE THEFT,15482
2009,LIQUOR LAW VIOLATION,746
2009,PROSTITUTION,3940
2009,SEX OFFENSE,1265
2009,CRIM SEXUAL ASSAULT,1416
2009,ROBBERY,15980
2009,DECEPTIVE PRACTICE,13870
2009,OTHER OFFENSE,25601
2009,NARCOTICS,43542
2009,WEAPONS VIOLATION,4158
2009,ASSAULT,22861
2010,THEFT,76756
2010,PROSTITUTION,2484
2010,BATTERY,65403
2010,CRIMINAL TRESPASS,9401
2010,GAMBLING,927
2010,CRIMINAL DAMAGE,40653
2010,BURGLARY,26422
2010,INTERFERENCE WITH PUBLIC OFFICER,797
2010,OTHER OFFENSE,22012
2010,OFFENSE INVOLVING CHILDREN,2607
2010,LIQUOR LAW VIOLATION,737
2010,SEX OFFENSE,1131
2010,MOTOR VEHICLE THEFT,19029
2010,CRIM SEXUAL ASSAULT,1347
2010,DECEPTIVE PRACTICE,12558
2010,ASSAULT,21537
2010,NARCOTICS,43393
2010,PUBLIC PEACE VIOLATION,3538
2010,ROBBERY,14274
2010,WEAPONS VIOLATION,3704
2011,CRIMINAL TRESPASS,8659
2011,GAMBLING,736
2011,OFFENSE INVOLVING CHILDREN,2400
2011,ASSAULT,20411
2011,CRIMINAL DAMAGE,37332
2011,INTERFERENCE WITH PUBLIC OFFICER,1048
2011,ROBBERY,13983
2011,BURGLARY,26620
2011,PUBLIC PEACE VIOLATION,3095
2011,LIQUOR LAW VIOLATION,619
2011,OTHER OFFENSE,20194
2011,PROSTITUTION,2424
2011,THEFT,75152
2011,MOTOR VEHICLE THEFT,19388
2011,SEX OFFENSE,1089
2011,CRIM SEXUAL ASSAULT,1471
2011,BATTERY,60459
2011,DECEPTIVE PRACTICE,12716
2011,WEAPONS VIOLATION,3880
2011,NARCOTICS,38605
2012,ASSAULT,19899
2012,PUBLIC PEACE VIOLATION,3007
2012,CRIMINAL TRESPASS,8216
2012,CRIMINAL DAMAGE,35855
2012,GAMBLING,724
2012,BATTERY,59136
2012,OTHER OFFENSE,17483
2012,PROSTITUTION,2204
2012,BURGLARY,22845
2012,LIQUOR LAW VIOLATION,573
2012,MOTOR VEHICLE THEFT,16492
2012,CRIM SEXUAL ASSAULT,1407
2012,SEX OFFENSE,1080
2012,DECEPTIVE PRACTICE,13748
2012,NARCOTICS,35489
2012,ROBBERY,13485
2012,THEFT,75463
2012,WEAPONS VIOLATION,3907
2012,INTERFERENCE WITH PUBLIC OFFICER,1228
2012,OFFENSE INVOLVING CHILDREN,2291
2013,BATTERY,54005
2013,THEFT,71533
2013,GAMBLING,596
2013,CRIMINAL TRESPASS,8136
2013,CRIMINAL DAMAGE,30853
2013,INTERFERENCE WITH PUBLIC OFFICER,1281
2013,LIQUOR LAW VIOLATION,465
2013,BURGLARY,17895
2013,OTHER OFFENSE,17997
2013,PROSTITUTION,1652
2013,PUBLIC PEACE VIOLATION,3135
2013,ROBBERY,11820
2013,MOTOR VEHICLE THEFT,12582
2013,SEX OFFENSE,1050
2013,OFFENSE INVOLVING CHILDREN,2456
2013,CRIM SEXUAL ASSAULT,1283
2013,DECEPTIVE PRACTICE,13889
2013,ASSAULT,17972
2013,NARCOTICS,34127
2013,WEAPONS VIOLATION,3245
2014,BATTERY,49449
2014,CRIMINAL TRESPASS,7539
2014,GAMBLING,393
2014,THEFT,61566
2014,CRIMINAL DAMAGE,27798
2014,ASSAULT,16903
2014,OFFENSE INVOLVING CHILDREN,2482
2014,OTHER OFFENSE,16985
2014,PUBLIC PEACE VIOLATION,2903
2014,PROSTITUTION,1626
2014,INTERFERENCE WITH PUBLIC OFFICER,1399
2014,BURGLARY,14569
2014,LIQUOR LAW VIOLATION,397
2014,SEX OFFENSE,1003
2014,MOTOR VEHICLE THEFT,9911
2014,CRIM SEXUAL ASSAULT,1326
2014,NARCOTICS,29118
2014,DECEPTIVE PRACTICE,15932
2014,ROBBERY,9799
2014,WEAPONS VIOLATION,3113
2015,WEAPONS VIOLATION,3364
2015,CRIMINAL TRESPASS,6401
2015,GAMBLING,310
2015,ASSAULT,17047
2015,CRIMINAL DAMAGE,28676
2015,BURGLARY,13184
2015,INTERFERENCE WITH PUBLIC OFFICER,1308
2015,THEFT,57347
2015,OFFENSE INVOLVING CHILDREN,2401
2015,OTHER OFFENSE,17564
2015,BATTERY,48921
2015,PUBLIC PEACE VIOLATION,2422
2015,PROSTITUTION,1322
2015,LIQUOR LAW VIOLATION,292
2015,MOTOR VEHICLE THEFT,10068
2015,SEX OFFENSE,1029
2015,CRIM SEXUAL ASSAULT,1365
2015,DECEPTIVE PRACTICE,16377
2015,NARCOTICS,23939
2015,ROBBERY,9638
2016,CRIMINAL TRESPASS,6306
2016,GAMBLING,189
2016,CRIMINAL DAMAGE,31018
2016,ASSAULT,18741
2016,INTERFERENCE WITH PUBLIC OFFICER,936
2016,OTHER OFFENSE,17304
2016,BURGLARY,14289
2016,OFFENSE INVOLVING CHILDREN,2407
2016,PUBLIC PEACE VIOLATION,1607
2016,PROSTITUTION,800
2016,BATTERY,50298
2016,LIQUOR LAW VIOLATION,227
2016,SEX OFFENSE,1028
2016,MOTOR VEHICLE THEFT,11286
2016,ROBBERY,11960
2016,THEFT,61617
2016,CRIM SEXUAL ASSAULT,1512
2016,NARCOTICS,13333
2016,DECEPTIVE PRACTICE,19263
2016,WEAPONS VIOLATION,3450
2017,GAMBLING,191
2017,CRIMINAL TRESPASS,6815
2017,CRIMINAL DAMAGE,29044
2017,INTERFERENCE WITH PUBLIC OFFICER,1087
2017,BATTERY,49237
2017,OFFENSE INVOLVING CHILDREN,2359
2017,OTHER OFFENSE,17263
2017,BURGLARY,13000
2017,PUBLIC PEACE VIOLATION,1498
2017,PROSTITUTION,735
2017,LIQUOR LAW VIOLATION,191
2017,MOTOR VEHICLE THEFT,11380
2017,SEX OFFENSE,1050
2017,ASSAULT,19306
2017,CRIM SEXUAL ASSAULT,1529
2017,ROBBERY,11880
2017,THEFT,64377
2017,DECEPTIVE PRACTICE,19565
2017,NARCOTICS,11674
2017,WEAPONS VIOLATION,4686
2018,BATTERY,49823
2018,CRIMINAL TRESPASS,6907
2018,GAMBLING,201
2018,CRIMINAL DAMAGE,27822
2018,INTERFERENCE WITH PUBLIC OFFICER,1306
2018,OTHER OFFENSE,17259
2018,OFFENSE INVOLVING CHILDREN,2362
2018,BURGLARY,11747
2018,PROSTITUTION,718
2018,PUBLIC PEACE VIOLATION,1372
2018,LIQUOR LAW VIOLATION,268
2018,MOTOR VEHICLE THEFT,9983
2018,ROBBERY,9679
2018,ASSAULT,20406
